Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,Continent_Country,Lat_Long
NA,2023-03-10,171156,0,4090.0,0.0,166776.0,0,290.0,0,1062663.0,2633874,AF,15,"AF,NA","(-23.2335499, 17.3231107)"
NP,2023-03-10,1001154,0,12020.0,0.0,989129.0,1,5.0,0,6014848.0,30225582,AS,30,"AS,NP","(28.1083929, 84.0917139)"
NL,2023-03-10,8602266,567,22992.0,0.0,8562440.0,1078,16834.0,53,25984435.0,17211447,EU,2,"EU,NL","(52.24764975, 5.541246849406163)"
NZ,2023-03-10,2228291,0,3922.0,0.0,2214316.0,0,10053.0,0,7768604.0,4898203,Australia/Oceania,2,"Australia/Oceania,NZ","(-41.5000831, 172.8344077)"
NI,2023-03-10,18491,0,225.0,0.0,4225.0,0,14041.0,0,753233.0,6779100,NA,367,"NA,NI","(54.5859836, -6.9591554)"
NE,2023-03-10,9931,0,312.0,0.0,8890.0,0,729.0,1,254538.0,26083660,AF,"2,626","AF,NE","(35.000074, 104.999927)"
NG,2023-03-10,266598,0,3155.0,0.0,259917.0,0,3526.0,11,5708974.0,216746934,AF,813,"AF,NG","(9.6000359, 7.9999721)"
MK,2023-03-10,346852,0,9662.0,0.0,337068.0,0,122.0,0,2226216.0,2081304,EU,6,"EU,MK","(41.6171214, 21.7168387)"
NO,2023-03-10,1479550,44,5213.0,0.0,1473554.0,48,783.0,20,11002430.0,5511370,EU,4,"EU,NO","(61.1529386, 8.7876653)"
OM,2023-03-10,399449,0,4628.0,0.0,384669.0,0,10152.0,2,25000000.0,5323993,AS,13,"AS,OM","(21.0000287, 57.0036901)"
PK,2023-03-10,1577412,73,30644.0,0.0,1538689.0,0,8079.0,10,30570862.0,229488994,AS,145,"AS,PK","(30.3308401, 71.247499)"
PS,2023-03-10,621008,0,5404.0,0.0,615445.0,0,159.0,17,3078533.0,5345541,AS,9,"AS,PS","(34.0346534, -5.0161926)"
PA,2023-03-10,1031731,0,8609.0,0.0,1022524.0,0,598.0,16,7548346.0,4446964,NA,4,"NA,PA","(8.559559, -81.1308434)"
PG,2023-03-10,46825,0,670.0,0.0,43982.0,0,2173.0,7,249149.0,9292169,Australia/Oceania,198,"Australia/Oceania,PG","(-5.6816069, 144.2489081)"
PY,2023-03-10,808507,106,19880.0,2.0,698319.0,0,90308.0,7,2657506.0,7305843,SA,9,"SA,PY","(-23.3165935, -58.1693445)"
PE,2023-03-10,4487770,217,219548.0,9.0,4265744.0,110,2478.0,34,38122323.0,33684208,SA,8,"SA,PE","(-6.8699697, -75.0458515)"
PH,2023-03-10,4077625,184,66193.0,5.0,4002313.0,66,9119.0,162,34675485.0,112508994,AS,28,"AS,PH","(12.7503486, 122.7312101)"
PL,2023-03-10,6448577,3621,119016.0,6.0,5335940.0,0,993621.0,696,38356140.0,37739785,EU,6,"EU,PL","(52.215933, 19.134422)"
PT,2023-03-10,5570473,0,26266.0,0.0,5538659.0,0,5548.0,61,45994869.0,10140570,EU,2,"EU,PT","(39.6621648, -8.1353519)"
QA,2023-03-10,495090,0,688.0,0.0,493884.0,0,518.0,38,4065369.0,2979915,AS,6,"AS,QA","(25.3336984, 51.2295295)"
RO,2023-03-10,3346046,0,67736.0,0.0,3267395.0,0,10915.0,119,26750616.0,19031335,EU,6,"EU,RO","(45.9852129, 24.6859225)"
RU,2023-03-10,22398867,10311,396507.0,44.0,21744431.0,14663,257929.0,0,273400000.0,145805947,EU,7,"EU,RU","(54.7023545, -3.2765753)"
RW,2023-03-10,133194,0,1468.0,0.0,131647.0,0,79.0,0,6021981.0,13600464,AF,102,"AF,RW","(-1.9646631, 30.0644358)"
Unknown,2023-03-10,30615522,10335,34093.0,12.0,30399814.0,4304,181615.0,146,15804065.0,51329899,AS,2,"AS,Unknown","(25.029422, -77.36195598496681)"
SA,2023-03-10,830223,96,9619.0,1.0,817250.0,38,3354.0,38,45175083.0,35844909,AS,43,"AS,SA","(25.6242618, 42.3528328)"
SN,2023-03-10,88926,0,1971.0,0.0,86947.0,0,8.0,0,1146543.0,17653671,AF,199,"AF,SN","(14.4750607, -14.4529612)"
RS,2023-03-10,2501001,859,17886.0,5.0,2467944.0,964,15171.0,10,12475171.0,8653016,EU,3,"EU,RS","(44.1534121, 20.55144)"
