Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Active Cases/1M pop
Chile,2023-03-02,5172090,2951,64197.0,20.0,5101502.0,1963,6391.0,82,48470891.0,19250195,South America,4,300,0.0,332.0
Chile,2023-03-03,5174951,2861,64210.0,13.0,5101501.0,0,9240.0,87,48486557.0,19250195,South America,4,300,0.0,480.0
Chile,2023-03-04,5177770,2819,64222.0,12.0,5101497.0,0,12051.0,83,48501621.0,19250195,South America,4,300,0.0,626.0
Chile,2023-03-05,5180329,2559,64230.0,8.0,5108611.0,7102,7488.0,83,48515971.0,19250195,South America,4,300,0.0,389.0
Chile,2023-03-06,5180329,0,64230.0,0.0,5108611.0,0,7488.0,83,48515971.0,19250195,South America,4,300,0.0,389.0
China,2023-03-02,503302,0,5272.0,0.0,379255.0,0,118775.0,7557,160000000.0,1448471400,Asia,"2,878","274,748",9.0,82.0
China,2023-03-03,503302,0,5272.0,0.0,379255.0,0,118775.0,7557,160000000.0,1448471400,Asia,"2,878","274,748",9.0,82.0
China,2023-03-04,503302,0,5272.0,0.0,379255.0,0,118775.0,7557,160000000.0,1448471400,Asia,"2,878","274,748",9.0,82.0
China,2023-03-05,503302,0,5272.0,0.0,379255.0,0,118775.0,7557,160000000.0,1448471400,Asia,"2,878","274,748",9.0,82.0
China,2023-03-06,503302,0,5272.0,0.0,379255.0,0,118775.0,0,160000000.0,1448471400,Asia,"2,878","274,748",9.0,82.0
Colombia,2023-03-02,6360089,0,142629.0,0.0,6183668.0,0,33792.0,342,36951507.0,51512762,South America,8,361,1.0,656.0
Colombia,2023-03-03,6360089,0,142629.0,0.0,6183668.0,0,33792.0,342,36951507.0,51512762,South America,8,361,1.0,656.0
Colombia,2023-03-04,6360089,0,142629.0,0.0,6183668.0,0,33792.0,342,36951507.0,51512762,South America,8,361,1.0,656.0
Colombia,2023-03-05,6360089,0,142629.0,0.0,6183668.0,0,33792.0,342,36951507.0,51512762,South America,8,361,1.0,656.0
Colombia,2023-03-06,6360089,0,142629.0,0.0,6183668.0,0,33792.0,342,36951507.0,51512762,South America,8,361,1.0,656.0
Congo,2023-03-02,25375,0,386.0,0.0,24003.0,0,986.0,0,347815.0,5797805,Africa,228,"15,020",17.0,170.0
Congo,2023-03-03,25375,0,386.0,0.0,24003.0,0,986.0,0,347815.0,5797805,Africa,228,"15,020",17.0,170.0
Congo,2023-03-04,25375,0,386.0,0.0,24003.0,0,986.0,0,347815.0,5797805,Africa,228,"15,020",17.0,170.0
Congo,2023-03-05,25375,0,386.0,0.0,24003.0,0,986.0,0,347815.0,5797805,Africa,228,"15,020",17.0,170.0
Congo,2023-03-06,25375,0,386.0,0.0,24003.0,0,986.0,0,347815.0,5797805,Africa,228,"15,020",17.0,170.0
Costa Rica,2023-03-02,1204164,0,9230.0,0.0,860708.0,0,334226.0,52,4659757.0,5182354,North America,4,561,1.0,64493.0
Costa Rica,2023-03-03,1204164,0,9230.0,0.0,860708.0,0,334226.0,52,4659757.0,5182354,North America,4,561,1.0,64493.0
Costa Rica,2023-03-04,1204164,0,9230.0,0.0,860708.0,0,334226.0,52,4659757.0,5182354,North America,4,561,1.0,64493.0
Costa Rica,2023-03-05,1204164,0,9230.0,0.0,860708.0,0,334226.0,52,4659757.0,5182354,North America,4,561,1.0,64493.0
Costa Rica,2023-03-06,1204164,0,9230.0,0.0,860708.0,0,334226.0,52,4659757.0,5182354,North America,4,561,1.0,64493.0
Croatia,2023-03-02,1268992,0,17971.0,0.0,1250550.0,0,471.0,10,5503682.0,4059286,Europe,3,226,1.0,116.0
Croatia,2023-03-03,1268992,0,17971.0,0.0,1250550.0,0,471.0,10,5503682.0,4059286,Europe,3,226,1.0,116.0
Croatia,2023-03-04,1268992,0,17971.0,0.0,1250550.0,0,471.0,10,5503682.0,4059286,Europe,3,226,1.0,116.0
Croatia,2023-03-05,1268992,0,17971.0,0.0,1250550.0,0,471.0,10,5503682.0,4059286,Europe,3,226,1.0,116.0
Croatia,2023-03-06,1268992,0,17971.0,0.0,1250550.0,0,471.0,10,5503682.0,4059286,Europe,3,226,1.0,116.0
Cuba,2023-03-02,1112609,6,8530.0,0.0,1103989.0,8,90.0,0,14318929.0,11305652,North America,10,"1,325",1.0,8.0
Cuba,2023-03-03,1112613,4,8530.0,0.0,1103993.0,4,90.0,0,14319601.0,11305652,North America,10,"1,325",1.0,8.0
Cuba,2023-03-04,1112622,9,8530.0,0.0,1104002.0,12,90.0,0,14319601.0,11305652,North America,10,"1,325",1.0,8.0
Cuba,2023-03-05,1112625,3,8530.0,0.0,1104005.0,4,90.0,0,14319601.0,11305652,North America,10,"1,325",1.0,8.0
Cuba,2023-03-06,1112625,0,8530.0,0.0,1104005.0,0,90.0,2,14319601.0,11305652,North America,10,"1,325",1.0,8.0
Cyprus,2023-03-02,649093,0,1305.0,0.0,642855.0,0,4933.0,60,9640118.0,1223387,Asia,2,937,0.0,4032.0
Cyprus,2023-03-03,650685,1592,1330.0,25.0,644209.0,1355,5146.0,60,9640118.0,1223387,Asia,2,920,0.0,4206.0
Cyprus,2023-03-04,650685,0,1330.0,0.0,644185.0,0,5170.0,60,9640118.0,1223387,Asia,2,920,0.0,4226.0
Cyprus,2023-03-05,650685,0,1330.0,0.0,644185.0,0,5170.0,60,9640118.0,1223387,Asia,2,920,0.0,4226.0
Cyprus,2023-03-06,650685,0,1330.0,0.0,644185.0,0,5170.0,60,9640118.0,1223387,Asia,2,920,0.0,4226.0
Czechia,2023-03-02,4611993,987,42452.0,6.0,4558493.0,181,11048.0,36,57008620.0,10736784,Europe,2,253,0.0,1029.0
Czechia,2023-03-03,4612903,910,42457.0,5.0,4560289.0,1800,10157.0,47,57013317.0,10736784,Europe,2,253,0.0,946.0
